##BLOCKS= 7          
Note:
PROTOCOL REVISION HISTORY:
v1.0.0: original protocol created (MDC)
v1.0.1: 06/30/05 - Updated, spell checked, & formatted to new style guide. (DW)
v1.0.2: 10/02/05 - Updated Reader Suitability section for v5.0 release. (DW)

READER SUITABILITY:
VMax, VersaMax
SpectraMax, Plus, Plus 384
SpectraMax 190, 340PC, 340PC 384
SpectraMax Gemini, Gemini XS, Gemini EM, Gemini XPS
SpectraMax M2, SpectraMax M5
FlexStation, II, II 384
~End
Note:
Basic Kinetic Protocol

Unfamiliar with SoftMax Pro software?
If you are new to SoftMax Pro software, we strongly recommended spending time familiarizing yourself with the powerful features by completing at least one of the tutorials located in the Tutorials folder.

Use this protocol as the starting point for kinetic assays that have unknowns that will have concentrations interpolated from a standard curve.  Modify the instrument setup for your assay.  You may add more groups of unknowns, controls, or standards to the template to fit your assay.
~End
Plate:	Plate01	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	501	7500	15				1	407	1	12	96	364	Automatic	None			12	Automatic			1	1	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
13:00	22.30	1905.985	1892.731	1972.74	2123.021	1944.432	1831.339	2033.291	2221.446	2189.994	2941.933	3468.715	625.557																																																																																					
13:15	22.30	1927.084	1911.63	1978.784	2137.035	1972.968	1849.76	2065.537	2224.293	2210.72	2935.004	3460.074	622.87																																																																																					
13:30	22.30	1940.376	1928.26	2010.222	2155.408	1984.761	1863.258	2089.42	2246.391	2226.855	2963.637	3476.024	613.493																																																																																					
13:45	22.30	1960.617	1961.308	2034.354	2177.285	1999.024	1896.76	2100.073	2264.661	2250.328	2967.503	3480.55	613.194																																																																																					
14:00	22.30	1986.5	1972.599	2049.794	2201.103	2024.058	1915.963	2129.233	2292.029	2285.351	2979.01	3499.966	615.83																																																																																					
14:15	22.30	2005.646	2003.94	2079.991	2232.144	2047.606	1942.643	2159.913	2303.515	2294.568	2981.155	3485.11	613.548																																																																																					
14:30	22.30	2014.755	2014.724	2092.583	2250.951	2063.39	1960.081	2168.81	2335.376	2314.356	3006.468	3491.184	626.789																																																																																					
14:45	22.30	2045.864	2041.854	2112.954	2263.382	2095.73	1975.727	2183	2355.783	2326.4	3004.14	3496.583	628.114																																																																																					
15:00	22.30	2066.053	2055.476	2130.143	2283.117	2114.142	1987.768	2201.274	2369.463	2341.347	3035.056	3502.884	619.32																																																																																					
15:15	22.30	2087.919	2080.642	2157.273	2292.81	2140.858	2012.634	2208.83	2380.583	2357.477	3043.304	3502.918	619.207																																																																																					
15:30	22.30	2098.525	2105.24	2176.934	2308.995	2153.172	2030.927	2238.942	2409.482	2364.595	3028.67	3512.354	624.757																																																																																					
