17
1269		1289		1187		1087		1132		708		245		354		343		332		391		305		319		341		275		247		1501	
01:LS-ElecPipTrial		02:SS		R03:LS_NewPyA		04:LS_NewerPyA		05:SS		21:LS+C		22:(LS+C)+P34		23:(LS+C)+P345		24:(LS+C)+PI		25:(LS+C)+P45		26:(SS+C)		27:(SS+C)+P45		28:(SS+C)+P345		29:(SS+C)+P34		30:(SS+C)+PI		31:(SS+C)+P45		32:A	
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
151	54466.6	151	48464.7	151	62341.1	151	61157.8	151	54274.2	151	41155.7	151	80168.9	151	60039.1	151	40377.2	151	62014.7	151	37654.2	151	55650	151	51961.1	151	60737.7	151	40606	151	52680.4	151	31943
156	55141.6	156	48759.1	156	63218.2	156	62110.8	156	55086	156	41188.4	156	81004.9	156	60344.5	156	40423.2	156	62164.5	156	37570.6	156	55438	156	52111.1	156	60606.6	156	40344.6	156	52787.3	156	31901.3
161	56248.2	161	50176.2	161	64485.6	161	62985.8	161	56194.6	161	41579.7	161	81875.8	161	61128.9	161	40606	161	62762.6	161	37744	161	55597.5	161	52262.1	161	60910	161	40005.5	161	52417.3	161	32032.5
166	56935.1	166	50346.6	166	65257.1	166	64248.8	166	56661.1	166	41206.7	166	82404.8	166	61524.3	166	40307.8	166	63574.8	166	37906.1	166	56120.5	166	52641.4	166	61545.9	166	40354.8	166	52569.4	166	31711.2
171	57739.7	171	51211.2	171	66219.4	171	65576.8	171	57395.6	171	41607.3	171	83521.5	171	61528.4	171	40604	171	63801.2	171	37537.9	171	56343.9	171	52596.1	171	61607.9	171	40483.5	171	52983.6	171	31970.5
176	58660.2	176	51849.1	176	67253.6	176	66242.1	176	57802.6	176	41307.9	176	84487.5	176	62447.5	176	40802.2	176	64772	176	37551.2	176	56614.8	176	53218	176	62092.2	176	40336.4	176	53783.6	176	32077.3
181	59710	181	52069	181	68466.5	181	67539.4	181	58534.4	181	41370.2	181	85143.6	181	62794.6	181	40526.4	181	65329.5	181	38147.9	181	56486	181	53589.2	181	61939.4	181	40666.3	181	53611.8	181	32035.6
186	60562.2	186	53252	186	69719.6	186	68596	186	59033.4	186	41253.7	186	85285.7	186	64346	186	40869.6	186	65368.8	186	37994.9	186	56771.3	186	53987.2	186	62320.5	186	40667.3	186	53786.7	186	31885.1
191	61353.9	191	53802.1	191	70300.2	191	69553.7	191	59917.3	191	41862.8	191	86502.4	191	64769.9	191	40810.3	191	66597.2	191	38156.1	191	57245.2	191	53731.1	191	63153.1	191	40681.6	191	53993.4	191	31644.1
196	62477.5	196	54496.4	196	71339.7	196	70269.1	196	60717	196	41943.6	196	87467.7	196	64612.8	196	40647.9	196	67071.3	196	38583.6	196	56729.1	196	54198.1	196	63365	196	40568.2	196	54011.9	196	31859.6
201	63007.4	201	55006.7	201	72043.3	201	71697.7	201	61536.6	201	41546	201	88056.7	201	65638.9	201	40604	201	67537.3	201	38030.6	201	57257.5	201	54142.5	201	63611	201	41157.7	201	54197	201	31854.5
206	63522.1	206	55602.6	206	72866.6	206	72749.3	206	62028.2	206	41948.7	206	88308.9	206	66173.8	206	40979.9	206	68600.1	206	38401.9	206	57842.8	206	54634.3	206	63912.8	206	40786.8	206	54940.9	206	32118.9
211	64437	211	56416	211	73211.4	211	73854.4	211	62921.7	211	41792.3	211	89310.7	211	66552.6	211	41319.1	211	69220.9	211	38398.9	211	57722.2	211	55343.3	211	63922.1	211	41266	211	54367.8	211	31924.7
216	65534.4	216	56502.5	216	74861.4	216	74751.3	216	63416.7	216	42238	216	89617.5	216	66976.1	216	40941.1	216	69399.2	216	37963.3	216	57608.9	216	55185.8	216	64380.1	216	41224.1	216	54575.6	216	31710.2
221	66059	221	57964.4	221	76248.6	221	75575.7	221	64634.5	221	41865.9	221	90630.5	221	67459.6	221	40898.2	221	69827.4	221	38512.1	221	57730.5	221	55092.2	221	64404.9	221	41030	221	54776.2	221	31974.5
226	66992.6	226	57943.8	226	76622.1	226	77053.9	226	65084.4	226	42065.2	226	91436.4	226	68037.6	226	41442.8	226	71215.2	226	38484.6	226	57897.4	226	55391.6	226	64998.5	226	41611.4	226	55232.1	226	31892.2
231	67717.5	231	59009.7	231	77964.6	231	77862.6	231	65144.4	231	42045.8	231	92052.8	231	68873.7	231	41213.9	231	71239	231	38682.5	231	58124.2	231	55937.2	231	65262.3	231	41235.4	231	55258.9	231	31901.3
236	68752.5	236	59879.2	236	78392.6	236	79158.1	236	65535.4	236	42128.6	236	92827.8	236	69584.8	236	41400.9	236	72648.6	236	39133.6	236	59170.6	236	55977.4	236	65293.3	236	41494.9	236	55548.1	236	31951.2
241	69912.4	241	59845.1	241	79644.7	241	79974	241	66369.4	241	42276.8	241	93189.7	241	69717.5	241	41236.4	241	72154.4	241	39037.7	241	58650.9	241	56422.2	241	65710.2	241	41556.2	241	55983.6	241	31923.7
246	70201.7	246	60583.9	246	80602.5	246	80991.4	246	67406.8	246	42306.5	246	94259	246	70213.1	246	41170	246	73006.8	246	38929.5	246	59275.8	246	56607.6	246	66399.5	246	41488.8	246	55676.8	246	31788.5
251	70967.2	251	61366.3	251	81536.8	251	81656.7	251	67782.8	251	41930.3	251	95172.4	251	70717.2	251	41323.2	251	74050.8	251	39042.8	251	59222.1	251	56948.5	251	66234.9	251	41324.3	251	55861	251	32058.9
256	71503.6	256	61598.6	256	83014.2	256	83021.5	256	68706.9	256	42121.5	256	96138.8	256	71738.2	256	41347.8	256	74457.1	256	39352.1	256	59244.8	256	57192.6	256	66229.7	256	41580.8	256	56532.4	256	32114.9
261	72181.4	261	62581.8	261	83286.7	261	83912.1	261	69070.6	261	42371.9	261	96478.1	261	71675.9	261	41808.7	261	74798	261	39268.4	261	59902.9	261	57540.9	261	67005	261	41316.1	261	56252.3	261	31648.1
266	73972.9	266	63327.8	266	84657.8	266	85069.4	266	69845	266	42626.5	266	97567.1	266	72460.6	266	41612.4	266	75128.6	266	39236.7	266	59750.2	266	57964.4	266	67104.4	266	42049.9	266	56901.1	266	32136.2
271	74805.3	271	64268.4	271	85330.6	271	86424	271	70756.6	271	42660.3	271	97889.9	271	73349.6	271	41810.7	271	76007.3	271	39181.6	271	60303.2	271	58129.3	271	67574.6	271	41890.4	271	56642.6	271	32076.2
276	74487.3	276	64330.5	276	86195	276	87020	276	71247.3	276	42318.8	276	98947	276	73250.9	276	41392.7	276	77290.1	276	39640	276	59840	276	58581.8	276	68310	276	41910.9	276	56670.4	276	32165.7
281	76007.3	281	65195	281	87210.4	281	87897.7	281	71830.5	281	42494.6	281	99105.8	281	73899.1	281	42255.4	281	77448.3	281	39422.5	281	60387.8	281	58686	281	68280	281	41957.9	281	56997.9	281	32043.7
286	77253.7	286	65337.8	286	88000.2	286	88978.8	286	72895.7	286	42179.7	286	99429.9	286	74790.8	286	41913.9	286	77768.9	286	39592	286	60622.1	286	59208.7	286	68692.4	286	41964	286	57034	286	31980.6
291	77462.9	291	66429.5	291	88969.4	291	89551.6	291	73266.5	291	42741	291	100089	291	75101.6	291	42101	291	78717.5	291	40094.3	291	60994.7	291	59184	291	68674.8	291	42347.4	291	57319.4	291	32254.2
296	77999	296	66825.9	296	89486.6	296	90779.3	296	73898.1	296	42428.2	296	101300	296	75743.1	296	41527.6	296	78800.8	296	39737	296	61568.6	296	59778.1	296	69256.2	296	41842.4	296	57980.9	296	32285.7
301	78814.4	301	67401.6	301	90917.6	301	91512.9	301	75426	301	42713.4	301	101799	301	76411.9	301	42032.5	301	79516.5	301	40021.8	301	61129.9	301	59270.6	301	69141.1	301	42457.8	301	57533.7	301	32201.3
